2024/06/22 22:01:01 [error] 44284#48836: *17786 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php?action=wp_1_wc_regenerate_images&nonce=86dd1bd212 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "sklep-weze-buckup.local"
2024/06/30 00:00:22 [error] 13212#62940: *44313 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_allow_tracking%2Claunch-status%2Cwoocommerce_coming_soon%2Cwoocommerce_store_pages_only%2Cwoocommerce_private_link%2Cwoocommerce_share_key%2Cwoocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1189&action=edit"
2024/06/30 00:00:29 [error] 13212#62940: *44335 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/edit.php?post_type=product"
2024/06/30 00:01:25 [error] 13212#62940: *44463 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1197&action=edit"
2024/06/30 00:01:44 [error] 13212#62940: *44468 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1719698504.3826999664306640625000 HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local"
2024/06/30 00:29:03 [alert] 59796#49052: worker process 26520 exited with code C0000142
2024/06/30 00:29:03 [alert] 59796#49052: could not respawn worker
2024/06/30 16:26:57 [error] 70472#71356: *11024 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/tasks?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11029 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=launch-status%2Cwoocommerce_coming_soon%2Cwoocommerce_store_pages_only%2Cwoocommerce_private_link%2Cwoocommerce_share_key%2Cwoocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11039 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/jetpack/v4/connection/data?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11026 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11026 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11024 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/tasks?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11039 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/jetpack/v4/connection/data?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11031 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11031 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11029 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=launch-status%2Cwoocommerce_coming_soon%2Cwoocommerce_store_pages_only%2Cwoocommerce_private_link%2Cwoocommerce_share_key%2Cwoocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11041 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wc-admin/options?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11046 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/profile?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11047 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=5&status=unactioned&type%5B0%5D=info&type%5B1%5D=marketing&type%5B2%5D=survey&type%5B3%5D=warning&orderby=date&order=desc&_fields%5B0%5D=id&_fields%5B1%5D=name&_fields%5B2%5D=title&_fields%5B3%5D=content&_fields%5B4%5D=type&_fields%5B5%5D=status&_fields%5B6%5D=actions&_fields%5B7%5D=date_created&_fields%5B8%5D=date_created_gmt&_fields%5B9%5D=layout&_fields%5B10%5D=image&_fields%5B11%5D=is_deleted&_fields%5B12%5D=is_read&_fields%5B13%5D=locale&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11049 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/reports/performance-indicators?after=2024-06-30T00%3A00%3A00&before=2024-06-30T16%3A26%3A57&stats=revenue%2Ftotal_sales%2Corders%2Forders_count&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11048 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=100&status=unactioned&type%5B0%5D=info&type%5B1%5D=marketing&type%5B2%5D=survey&type%5B3%5D=warning&orderby=date&order=desc&_fields%5B0%5D=id&_fields%5B1%5D=name&_fields%5B2%5D=title&_fields%5B3%5D=content&_fields%5B4%5D=type&_fields%5B5%5D=status&_fields%5B6%5D=actions&_fields%5B7%5D=date_created&_fields%5B8%5D=date_created_gmt&_fields%5B9%5D=layout&_fields%5B10%5D=image&_fields%5B11%5D=is_deleted&_fields%5B12%5D=is_read&_fields%5B13%5D=locale&is_read=false&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11050 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/reports/performance-indicators?after=2024-06-29T00%3A00%3A00&before=2024-06-29T23%3A59%3A59&stats=revenue%2Ftotal_sales%2Corders%2Forders_count&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11051 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_welcome_from_calypso_modal_dismissed%2Cwoocommerce_task_list_welcome_modal_dismissed&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:26:57 [error] 70472#71356: *11052 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wc-admin/options?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:27:05 [error] 70472#71356: *11053 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=product HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:27:06 [error] 70472#71356: *11054 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=product HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:27:06 [error] 70472#71356: *11055 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/edit.php?post_type=product"
2024/06/30 16:27:07 [error] 70472#71356: *11056 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=product HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/admin.php?page=wc-admin"
2024/06/30 16:27:07 [error] 70472#71356: *11057 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/edit.php?post_type=product"
